"MEASURE","Residential Dwellings","ASGS_2011","REGION","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"3","Value of dwelling stock: Owned by non households ($m)","5","Western Australia","Q","Quarterly","2021-Q1","Mar-2021",33251.4,"r","revised"
"3","Value of dwelling stock: Owned by non households ($m)","5","Western Australia","Q","Quarterly","2021-Q2","Jun-2021",35044.8,"p","preliminary figure or series subject to revision"
"4","Number of residential dwellings ('000)","5","Western Australia","Q","Quarterly","2019-Q3","Sep-2019",1106.1,,
"4","Number of residential dwellings ('000)","5","Western Australia","Q","Quarterly","2019-Q4","Dec-2019",1109.8,,
"4","Number of residential dwellings ('000)","5","Western Australia","Q","Quarterly","2020-Q1","Mar-2020",1112.9,,
"4","Number of residential dwellings ('000)","5","Western Australia","Q","Quarterly","2020-Q2","Jun-2020",1115.8,,
"4","Number of residential dwellings ('000)","5","Western Australia","Q","Quarterly","2020-Q3","Sep-2020",1118.7,,
"4","Number of residential dwellings ('000)","5","Western Australia","Q","Quarterly","2020-Q4","Dec-2020",1121.4,"r","revised"
"4","Number of residential dwellings ('000)","5","Western Australia","Q","Quarterly","2021-Q1","Mar-2021",1124,"r","revised"
"4","Number of residential dwellings ('000)","5","Western Australia","Q","Quarterly","2021-Q2","Jun-2021",1130.3,"p","preliminary figure or series subject to revision"
"5","Mean price of residential dwelling ($'000)","5","Western Australia","Q","Quarterly","2019-Q3","Sep-2019",503.8,,
"5","Mean price of residential dwelling ($'000)","5","Western Australia","Q","Quarterly","2019-Q4","Dec-2019",499.3,,
"5","Mean price of residential dwelling ($'000)","5","Western Australia","Q","Quarterly","2020-Q1","Mar-2020",501.3,,
"5","Mean price of residential dwelling ($'000)","5","Western Australia","Q","Quarterly","2020-Q2","Jun-2020",499.1,,
"5","Mean price of residential dwelling ($'000)","5","Western Australia","Q","Quarterly","2020-Q3","Sep-2020",524.1,,
"5","Mean price of residential dwelling ($'000)","5","Western Australia","Q","Quarterly","2020-Q4","Dec-2020",554.3,"r","revised"
"5","Mean price of residential dwelling ($'000)","5","Western Australia","Q","Quarterly","2021-Q1","Mar-2021",584.5,"r","revised"
"5","Mean price of residential dwelling ($'000)","5","Western Australia","Q","Quarterly","2021-Q2","Jun-2021",612.6,"p","preliminary figure or series subject to revision"
"1","Value of dwelling stock: Owned by all sectors ($m)","6","Tasmania","Q","Quarterly","2019-Q3","Sep-2019",104474.2,,
"1","Value of dwelling stock: Owned by all sectors ($m)","6","Tasmania","Q","Quarterly","2019-Q4","Dec-2019",109782.3,,
"1","Value of dwelling stock: Owned by all sectors ($m)","6","Tasmania","Q","Quarterly","2020-Q1","Mar-2020",113968.1,,
"1","Value of dwelling stock: Owned by all sectors ($m)","6","Tasmania","Q","Quarterly","2020-Q2","Jun-2020",114349.1,,
"1","Value of dwelling stock: Owned by all sectors ($m)","6","Tasmania","Q","Quarterly","2020-Q3","Sep-2020",115008.9,,
"1","Value of dwelling stock: Owned by all sectors ($m)","6","Tasmania","Q","Quarterly","2020-Q4","Dec-2020",125185.8,"r","revised"
"1","Value of dwelling stock: Owned by all sectors ($m)","6","Tasmania","Q","Quarterly","2021-Q1","Mar-2021",135784.5,"r","revised"
"1","Value of dwelling stock: Owned by all sectors ($m)","6","Tasmania","Q","Quarterly","2021-Q2","Jun-2021",144589.6,"p","preliminary figure or series subject to revision"
"2","Value of dwelling stock: Owned by households ($m)","6","Tasmania","Q","Quarterly","2019-Q3","Sep-2019",98120.4,,
"2","Value of dwelling stock: Owned by households ($m)","6","Tasmania","Q","Quarterly","2019-Q4","Dec-2019",103045.2,,
"2","Value of dwelling stock: Owned by households ($m)","6","Tasmania","Q","Quarterly","2020-Q1","Mar-2020",106974.4,,
"2","Value of dwelling stock: Owned by households ($m)","6","Tasmania","Q","Quarterly","2020-Q2","Jun-2020",107377.6,,
"2","Value of dwelling stock: Owned by households ($m)","6","Tasmania","Q","Quarterly","2020-Q3","Sep-2020",108071.7,,
"2","Value of dwelling stock: Owned by households ($m)","6","Tasmania","Q","Quarterly","2020-Q4","Dec-2020",117670.8,"r","revised"
"2","Value of dwelling stock: Owned by households ($m)","6","Tasmania","Q","Quarterly","2021-Q1","Mar-2021",127686.4,"r","revised"
"2","Value of dwelling stock: Owned by households ($m)","6","Tasmania","Q","Quarterly","2021-Q2","Jun-2021",135966.3,"p","preliminary figure or series subject to revision"
"3","Value of dwelling stock: Owned by non households ($m)","6","Tasmania","Q","Quarterly","2019-Q3","Sep-2019",6353.8,,
"3","Value of dwelling stock: Owned by non households ($m)","6","Tasmania","Q","Quarterly","2019-Q4","Dec-2019",6737.1,,
"3","Value of dwelling stock: Owned by non households ($m)","6","Tasmania","Q","Quarterly","2020-Q1","Mar-2020",6993.7,,
"3","Value of dwelling stock: Owned by non households ($m)","6","Tasmania","Q","Quarterly","2020-Q2","Jun-2020",6971.5,,
"3","Value of dwelling stock: Owned by non households ($m)","6","Tasmania","Q","Quarterly","2020-Q3","Sep-2020",6937.1,,
"3","Value of dwelling stock: Owned by non households ($m)","6","Tasmania","Q","Quarterly","2020-Q4","Dec-2020",7515,"r","revised"
"3","Value of dwelling stock: Owned by non households ($m)","6","Tasmania","Q","Quarterly","2021-Q1","Mar-2021",8098.1,"r","revised"
"3","Value of dwelling stock: Owned by non households ($m)","6","Tasmania","Q","Quarterly","2021-Q2","Jun-2021",8623.3,"p","preliminary figure or series subject to revision"
"4","Number of residential dwellings ('000)","6","Tasmania","Q","Quarterly","2019-Q3","Sep-2019",246.6,,
"4","Number of residential dwellings ('000)","6","Tasmania","Q","Quarterly","2019-Q4","Dec-2019",247.2,,
"4","Number of residential dwellings ('000)","6","Tasmania","Q","Quarterly","2020-Q1","Mar-2020",247.7,,
"4","Number of residential dwellings ('000)","6","Tasmania","Q","Quarterly","2020-Q2","Jun-2020",248.4,,
"4","Number of residential dwellings ('000)","6","Tasmania","Q","Quarterly","2020-Q3","Sep-2020",249.1,,
"4","Number of residential dwellings ('000)","6","Tasmania","Q","Quarterly","2020-Q4","Dec-2020",249.9,,
"4","Number of residential dwellings ('000)","6","Tasmania","Q","Quarterly","2021-Q1","Mar-2021",250.4,,
"4","Number of residential dwellings ('000)","6","Tasmania","Q","Quarterly","2021-Q2","Jun-2021",250.9,"p","preliminary figure or series subject to revision"
"5","Mean price of residential dwelling ($'000)","6","Tasmania","Q","Quarterly","2019-Q3","Sep-2019",423.7,,
"5","Mean price of residential dwelling ($'000)","6","Tasmania","Q","Quarterly","2019-Q4","Dec-2019",444.1,,
"5","Mean price of residential dwelling ($'000)","6","Tasmania","Q","Quarterly","2020-Q1","Mar-2020",460.1,,
"5","Mean price of residential dwelling ($'000)","6","Tasmania","Q","Quarterly","2020-Q2","Jun-2020",460.3,,
"5","Mean price of residential dwelling ($'000)","6","Tasmania","Q","Quarterly","2020-Q3","Sep-2020",461.7,,
"5","Mean price of residential dwelling ($'000)","6","Tasmania","Q","Quarterly","2020-Q4","Dec-2020",501,"r","revised"
"5","Mean price of residential dwelling ($'000)","6","Tasmania","Q","Quarterly","2021-Q1","Mar-2021",542.2,"r","revised"
"5","Mean price of residential dwelling ($'000)","6","Tasmania","Q","Quarterly","2021-Q2","Jun-2021",576.2,"p","preliminary figure or series subject to revision"
"1","Value of dwelling stock: Owned by all sectors ($m)","7","Northern Territory","Q","Quarterly","2019-Q3","Sep-2019",37552.6,,
"1","Value of dwelling stock: Owned by all sectors ($m)","7","Northern Territory","Q","Quarterly","2019-Q4","Dec-2019",35261.8,,
"1","Value of dwelling stock: Owned by all sectors ($m)","7","Northern Territory","Q","Quarterly","2020-Q1","Mar-2020",35645.1,,
"1","Value of dwelling stock: Owned by all sectors ($m)","7","Northern Territory","Q","Quarterly","2020-Q2","Jun-2020",36629.4,,
"1","Value of dwelling stock: Owned by all sectors ($m)","7","Northern Territory","Q","Quarterly","2020-Q3","Sep-2020",36124.2,,
"1","Value of dwelling stock: Owned by all sectors ($m)","7","Northern Territory","Q","Quarterly","2020-Q4","Dec-2020",39517.1,"r","revised"
"1","Value of dwelling stock: Owned by all sectors ($m)","7","Northern Territory","Q","Quarterly","2021-Q1","Mar-2021",38461.5,"r","revised"
"1","Value of dwelling stock: Owned by all sectors ($m)","7","Northern Territory","Q","Quarterly","2021-Q2","Jun-2021",40424.8,"p","preliminary figure or series subject to revision"
"2","Value of dwelling stock: Owned by households ($m)","7","Northern Territory","Q","Quarterly","2019-Q3","Sep-2019",28926.3,,
"2","Value of dwelling stock: Owned by households ($m)","7","Northern Territory","Q","Quarterly","2019-Q4","Dec-2019",27596.4,,
"2","Value of dwelling stock: Owned by households ($m)","7","Northern Territory","Q","Quarterly","2020-Q1","Mar-2020",27911.1,,
"2","Value of dwelling stock: Owned by households ($m)","7","Northern Territory","Q","Quarterly","2020-Q2","Jun-2020",28190.2,,
"2","Value of dwelling stock: Owned by households ($m)","7","Northern Territory","Q","Quarterly","2020-Q3","Sep-2020",28204.7,,
"2","Value of dwelling stock: Owned by households ($m)","7","Northern Territory","Q","Quarterly","2020-Q4","Dec-2020",30471.2,"r","revised"
"2","Value of dwelling stock: Owned by households ($m)","7","Northern Territory","Q","Quarterly","2021-Q1","Mar-2021",30432.9,"r","revised"
"2","Value of dwelling stock: Owned by households ($m)","7","Northern Territory","Q","Quarterly","2021-Q2","Jun-2021",31986.3,"p","preliminary figure or series subject to revision"
"3","Value of dwelling stock: Owned by non households ($m)","7","Northern Territory","Q","Quarterly","2019-Q3","Sep-2019",8626.3,,
"3","Value of dwelling stock: Owned by non households ($m)","7","Northern Territory","Q","Quarterly","2019-Q4","Dec-2019",7665.4,,
"3","Value of dwelling stock: Owned by non households ($m)","7","Northern Territory","Q","Quarterly","2020-Q1","Mar-2020",7734,,
"3","Value of dwelling stock: Owned by non households ($m)","7","Northern Territory","Q","Quarterly","2020-Q2","Jun-2020",8439.2,,
"3","Value of dwelling stock: Owned by non households ($m)","7","Northern Territory","Q","Quarterly","2020-Q3","Sep-2020",7919.6,,
"3","Value of dwelling stock: Owned by non households ($m)","7","Northern Territory","Q","Quarterly","2020-Q4","Dec-2020",9045.8,"r","revised"
"3","Value of dwelling stock: Owned by non households ($m)","7","Northern Territory","Q","Quarterly","2021-Q1","Mar-2021",8028.7,"r","revised"
"3","Value of dwelling stock: Owned by non households ($m)","7","Northern Territory","Q","Quarterly","2021-Q2","Jun-2021",8438.5,"p","preliminary figure or series subject to revision"
"4","Number of residential dwellings ('000)","7","Northern Territory","Q","Quarterly","2019-Q3","Sep-2019",85.5,,
"4","Number of residential dwellings ('000)","7","Northern Territory","Q","Quarterly","2019-Q4","Dec-2019",85.6,,
"4","Number of residential dwellings ('000)","7","Northern Territory","Q","Quarterly","2020-Q1","Mar-2020",85.7,,
"4","Number of residential dwellings ('000)","7","Northern Territory","Q","Quarterly","2020-Q2","Jun-2020",85.8,,
"4","Number of residential dwellings ('000)","7","Northern Territory","Q","Quarterly","2020-Q3","Sep-2020",86,,
"4","Number of residential dwellings ('000)","7","Northern Territory","Q","Quarterly","2020-Q4","Dec-2020",86.2,,
"4","Number of residential dwellings ('000)","7","Northern Territory","Q","Quarterly","2021-Q1","Mar-2021",86.2,"r","revised"
"4","Number of residential dwellings ('000)","7","Northern Territory","Q","Quarterly","2021-Q2","Jun-2021",86.7,"p","preliminary figure or series subject to revision"
"5","Mean price of residential dwelling ($'000)","7","Northern Territory","Q","Quarterly","2019-Q3","Sep-2019",439.3,,
"5","Mean price of residential dwelling ($'000)","7","Northern Territory","Q","Quarterly","2019-Q4","Dec-2019",411.9,,
"5","Mean price of residential dwelling ($'000)","7","Northern Territory","Q","Quarterly","2020-Q1","Mar-2020",415.9,,
"5","Mean price of residential dwelling ($'000)","7","Northern Territory","Q","Quarterly","2020-Q2","Jun-2020",426.8,,
"5","Mean price of residential dwelling ($'000)","7","Northern Territory","Q","Quarterly","2020-Q3","Sep-2020",420.2,,
"5","Mean price of residential dwelling ($'000)","7","Northern Territory","Q","Quarterly","2020-Q4","Dec-2020",458.7,,
"5","Mean price of residential dwelling ($'000)","7","Northern Territory","Q","Quarterly","2021-Q1","Mar-2021",446,"r","revised"
"5","Mean price of residential dwelling ($'000)","7","Northern Territory","Q","Quarterly","2021-Q2","Jun-2021",466.3,"p","preliminary figure or series subject to revision"
"1","Value of dwelling stock: Owned by all sectors ($m)","8","Australian Capital Territory","Q","Quarterly","2019-Q3","Sep-2019",118153.9,,
"1","Value of dwelling stock: Owned by all sectors ($m)","8","Australian Capital Territory","Q","Quarterly","2019-Q4","Dec-2019",125005.4,,
"1","Value of dwelling stock: Owned by all sectors ($m)","8","Australian Capital Territory","Q","Quarterly","2020-Q1","Mar-2020",125060.8,,
"1","Value of dwelling stock: Owned by all sectors ($m)","8","Australian Capital Territory","Q","Quarterly","2020-Q2","Jun-2020",128461.4,,
"1","Value of dwelling stock: Owned by all sectors ($m)","8","Australian Capital Territory","Q","Quarterly","2020-Q3","Sep-2020",132392.5,,
"1","Value of dwelling stock: Owned by all sectors ($m)","8","Australian Capital Territory","Q","Quarterly","2020-Q4","Dec-2020",140314.6,"r","revised"
"1","Value of dwelling stock: Owned by all sectors ($m)","8","Australian Capital Territory","Q","Quarterly","2021-Q1","Mar-2021",150611.7,"r","revised"
"1","Value of dwelling stock: Owned by all sectors ($m)","8","Australian Capital Territory","Q","Quarterly","2021-Q2","Jun-2021",163939.2,"p","preliminary figure or series subject to revision"
"2","Value of dwelling stock: Owned by households ($m)","8","Australian Capital Territory","Q","Quarterly","2019-Q3","Sep-2019",109297.5,,
"2","Value of dwelling stock: Owned by households ($m)","8","Australian Capital Territory","Q","Quarterly","2019-Q4","Dec-2019",115671.4,,
"2","Value of dwelling stock: Owned by households ($m)","8","Australian Capital Territory","Q","Quarterly","2020-Q1","Mar-2020",115731.7,,
"2","Value of dwelling stock: Owned by households ($m)","8","Australian Capital Territory","Q","Quarterly","2020-Q2","Jun-2020",118841.3,,
"2","Value of dwelling stock: Owned by households ($m)","8","Australian Capital Territory","Q","Quarterly","2020-Q3","Sep-2020",122489.2,,
"2","Value of dwelling stock: Owned by households ($m)","8","Australian Capital Territory","Q","Quarterly","2020-Q4","Dec-2020",129814.4,"r","revised"
"2","Value of dwelling stock: Owned by households ($m)","8","Australian Capital Territory","Q","Quarterly","2021-Q1","Mar-2021",139450.3,"r","revised"
"2","Value of dwelling stock: Owned by households ($m)","8","Australian Capital Territory","Q","Quarterly","2021-Q2","Jun-2021",151790.1,"p","preliminary figure or series subject to revision"
"3","Value of dwelling stock: Owned by non households ($m)","8","Australian Capital Territory","Q","Quarterly","2019-Q3","Sep-2019",8856.4,,
"3","Value of dwelling stock: Owned by non households ($m)","8","Australian Capital Territory","Q","Quarterly","2019-Q4","Dec-2019",9334.1,,
"3","Value of dwelling stock: Owned by non households ($m)","8","Australian Capital Territory","Q","Quarterly","2020-Q1","Mar-2020",9329.1,,
"3","Value of dwelling stock: Owned by non households ($m)","8","Australian Capital Territory","Q","Quarterly","2020-Q2","Jun-2020",9620.1,,
"3","Value of dwelling stock: Owned by non households ($m)","8","Australian Capital Territory","Q","Quarterly","2020-Q3","Sep-2020",9903.3,,
"3","Value of dwelling stock: Owned by non households ($m)","8","Australian Capital Territory","Q","Quarterly","2020-Q4","Dec-2020",10500.2,"r","revised"
"3","Value of dwelling stock: Owned by non households ($m)","8","Australian Capital Territory","Q","Quarterly","2021-Q1","Mar-2021",11161.4,"r","revised"
"3","Value of dwelling stock: Owned by non households ($m)","8","Australian Capital Territory","Q","Quarterly","2021-Q2","Jun-2021",12149.1,"p","preliminary figure or series subject to revision"
"4","Number of residential dwellings ('000)","8","Australian Capital Territory","Q","Quarterly","2019-Q3","Sep-2019",175.4,,
"4","Number of residential dwellings ('000)","8","Australian Capital Territory","Q","Quarterly","2019-Q4","Dec-2019",176.8,,
"4","Number of residential dwellings ('000)","8","Australian Capital Territory","Q","Quarterly","2020-Q1","Mar-2020",178.4,,
"4","Number of residential dwellings ('000)","8","Australian Capital Territory","Q","Quarterly","2020-Q2","Jun-2020",178.9,,
"4","Number of residential dwellings ('000)","8","Australian Capital Territory","Q","Quarterly","2020-Q3","Sep-2020",179.8,,
"4","Number of residential dwellings ('000)","8","Australian Capital Territory","Q","Quarterly","2020-Q4","Dec-2020",182,,
"4","Number of residential dwellings ('000)","8","Australian Capital Territory","Q","Quarterly","2021-Q1","Mar-2021",182.8,"r","revised"
"4","Number of residential dwellings ('000)","8","Australian Capital Territory","Q","Quarterly","2021-Q2","Jun-2021",183.8,"p","preliminary figure or series subject to revision"
"5","Mean price of residential dwelling ($'000)","8","Australian Capital Territory","Q","Quarterly","2019-Q3","Sep-2019",673.7,,
"5","Mean price of residential dwelling ($'000)","8","Australian Capital Territory","Q","Quarterly","2019-Q4","Dec-2019",707,,
"5","Mean price of residential dwelling ($'000)","8","Australian Capital Territory","Q","Quarterly","2020-Q1","Mar-2020",701.1,,
"5","Mean price of residential dwelling ($'000)","8","Australian Capital Territory","Q","Quarterly","2020-Q2","Jun-2020",717.9,,
"5","Mean price of residential dwelling ($'000)","8","Australian Capital Territory","Q","Quarterly","2020-Q3","Sep-2020",736.2,,
"5","Mean price of residential dwelling ($'000)","8","Australian Capital Territory","Q","Quarterly","2020-Q4","Dec-2020",771.1,"r","revised"
"5","Mean price of residential dwelling ($'000)","8","Australian Capital Territory","Q","Quarterly","2021-Q1","Mar-2021",824.1,"r","revised"
"5","Mean price of residential dwelling ($'000)","8","Australian Capital Territory","Q","Quarterly","2021-Q2","Jun-2021",891.7,"p","preliminary figure or series subject to revision"
